city,subcity,restaurant,rating,rating count,cost,cuisine,food_category,rating_category,cost_category,cuisine_count
chennai,poonamallee,lassi and soup corner,4.1,10,200,juices,veg,very high,Budget-Friendly,1
chennai,poonamallee,biriyani chowk,4.1,100,320,indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,biriyani chowk,4.1,100,320,chinese,non veg,very high,Budget-Friendly,2
chennai,poonamallee,lakshmi restaurant,3.7,50,350,indian,veg,high,Budget-Friendly,1
chennai,poonamallee,1 point 2 devi mess,2.9,100,250,south indian,non veg,medium,Budget-Friendly,1
chennai,poonamallee,sri bala home foods,4.1,10,300,biryani,veg,very high,Budget-Friendly,1
chennai,poonamallee,sri hari kitchen,4.1,10,200,south indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,sri hari kitchen,4.1,10,200,indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,fresh bowl,4.1,10,350,desserts,veg,very high,Budget-Friendly,2
chennai,poonamallee,fresh bowl,4.1,10,350,beverages,veg,very high,Budget-Friendly,2
chennai,poonamallee,shawarma crime poonamallee,4.1,10,500,arabian,non veg,very high,Standard Dining,2
chennai,poonamallee,shawarma crime poonamallee,4.1,10,500,snacks,non veg,very high,Standard Dining,2
chennai,poonamallee,subway,4.1,100,350,fast food,non veg,very high,Budget-Friendly,2
chennai,poonamallee,subway,4.1,100,350,salads,non veg,very high,Budget-Friendly,2
chennai,poonamallee,arabian nikkah briyani,3.3,100,400,indian,non veg,high,Budget-Friendly,1
chennai,poonamallee,desert shawarma mirdus kitchen,4.1,10,170,arabian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,desert shawarma mirdus kitchen,4.1,10,170,american,non veg,very high,Budget-Friendly,2
chennai,poonamallee,royal cafe,4.1,10,100,south indian,veg,very high,Budget-Friendly,1
chennai,poonamallee,madurai chettinadu,4.1,10,200,south indian,non veg,very high,Budget-Friendly,1
chennai,poonamallee,thalappakattu,3.5,50,300,biryani,non veg,high,Budget-Friendly,2
chennai,poonamallee,thalappakattu,3.5,50,300,chinese,non veg,high,Budget-Friendly,2
chennai,poonamallee,victuals,3.8,50,250,beverages,non veg,high,Budget-Friendly,2
chennai,poonamallee,victuals,3.8,50,250,chinese,non veg,high,Budget-Friendly,2
chennai,poonamallee,hotel vaithee park,4.1,10,400,biryani,non veg,very high,Budget-Friendly,2
chennai,poonamallee,hotel vaithee park,4.1,10,400,north indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,lassiday cafe burger pav,4.1,10,300,beverages,veg,very high,Budget-Friendly,2
chennai,poonamallee,lassiday cafe burger pav,4.1,10,300,juices,veg,very high,Budget-Friendly,2
chennai,poonamallee,madras meen kuzhambu,4.1,10,300,indian,veg,very high,Budget-Friendly,1
chennai,poonamallee,apple squeeze,4.1,10,150,juices,non veg,very high,Budget-Friendly,1
chennai,poonamallee,oh my grill,4.1,10,300,grill,non veg,very high,Budget-Friendly,2
chennai,poonamallee,oh my grill,4.1,10,300,chinese,non veg,very high,Budget-Friendly,2
chennai,poonamallee,taj thalapakattu biriyani,4.0,500,300,biryani,non veg,high,Budget-Friendly,1
chennai,poonamallee,hot chaat and sweet items,3.8,100,200,fast food,veg,high,Budget-Friendly,1
chennai,poonamallee,sri ganesh bhavan,4.1,10,200,south indian,veg,very high,Budget-Friendly,2
chennai,poonamallee,sri ganesh bhavan,4.1,10,200,indian,veg,very high,Budget-Friendly,2
chennai,poonamallee,beef kabab,3.6,100,200,chinese,non veg,high,Budget-Friendly,2
chennai,poonamallee,beef kabab,3.6,100,200,tandoor,non veg,high,Budget-Friendly,2
chennai,poonamallee,sister's kitchen - asha enterprises,4.1,10,300,biryani,non veg,very high,Budget-Friendly,2
chennai,poonamallee,sister's kitchen - asha enterprises,4.1,10,300,north indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,santhi bakery,4.1,50,300,bakery,veg,very high,Budget-Friendly,1
chennai,poonamallee,the chai master,4.1,10,200,snacks,non veg,very high,Budget-Friendly,1
chennai,poonamallee,annapoorna hotels and caterers pure veg restaurant,4.2,100,200,south indian,veg,very high,Budget-Friendly,1
chennai,poonamallee,thoothukudi set parotta,4.1,100,150,indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,thoothukudi set parotta,4.1,100,150,south indian,non veg,very high,Budget-Friendly,2
chennai,poonamallee,mallies restaurant,3.6,20,300,indian,non veg,high,Budget-Friendly,1
chennai,poonamallee,five star chicken,4.1,10,200,snacks,non veg,very high,Budget-Friendly,1
chennai,poonamallee,crispy chicken express,4.1,10,200,fast food,non veg,very high,Budget-Friendly,2
chennai,poonamallee,crispy chicken express,4.1,10,200,chinese,non veg,very high,Budget-Friendly,2
chennai,poonamallee,thanjai vilas,2.6,20,200,indian,non veg,medium,Budget-Friendly,2
chennai,poonamallee,thanjai vilas,2.6,20,200,south indian,non veg,medium,Budget-Friendly,2
chennai,poonamallee,hotel sri naruvizhi,4.1,10,200,indian,non veg,very high,Budget-Friendly,1
chennai,poonamallee,taj restaurant,3.9,500,400,north indian,non veg,high,Budget-Friendly,2
chennai,poonamallee,taj restaurant,3.9,500,400,arabian,non veg,high,Budget-Friendly,2
chennai,poonamallee,ss pandiyan hotel,4.0,1000,200,biryani,non veg,high,Budget-Friendly,2
chennai,poonamallee,ss pandiyan hotel,4.0,1000,200,south indian,non veg,high,Budget-Friendly,2
